t,q
1434,0.09787552
1435,0.0979368
1436,0.09799808
1437,0.09805936
1438,0.09812064
1439,0.09818192
1440,0.0982432
1441,0.09830448
1442,0.09836576
1443,0.09842704
1444,0.09848832
1445,0.0985496
1446,0.09861088
1447,0.09867216
1448,0.09873344
1449,0.09879472
1450,0.098856
1451,0.09891728
1452,0.09897856
1453,0.09903984
1454,0.09910112
1455,0.0991624
1456,0.09922368
1457,0.09928496
1458,0.09934624
1459,0.09940752
1460,0.0994688
1461,0.09953008
1462,0.09959136
1463,0.09965264
1464,0.09971392
1465,0.0997752
1466,0.09983648
1467,0.09989776
1468,0.09995904
1469,0.10002032
1470,0.1000816
1471,0.10014288
1472,0.10020416
1473,0.10026544
1474,0.10032672
1475,0.100388
1476,0.10044928
1477,0.10051056
1478,0.10057184
1479,0.10063312
1480,0.1006944
1481,0.10075568
1482,0.10081696
1483,0.10087824
1484,0.10093952
1485,0.1010008
1486,0.10106208
1487,0.10112336
1488,0.10118464
1489,0.10124592
1490,0.1013072
1491,0.10136848
1492,0.10142976
1493,0.10149104
1494,0.10155232
1495,0.1016136
1496,0.10167488
1497,0.10173616
1498,0.10179744
1499,0.10185872
1500,0.10192
1501,0.10198128
1502,0.10204256
1503,0.10210384
1504,0.10216512
1505,0.1022264
1506,0.10228768
1507,0.10234896
1508,0.10241024
1509,0.10247152
1510,0.1025328
1511,0.10259408
1512,0.10265536
1513,0.10271664
1514,0.10277792
1515,0.1028392
1516,0.10290048
1517,0.10296176
1518,0.10302304
1519,0.10308432
1520,0.1031456
1521,0.10320688
1522,0.10326816
1523,0.10332944
1524,0.10339072
1525,0.103452
1526,0.10351328
1527,0.10357456
1528,0.10363584
1529,0.10369712
1530,0.1037584
1531,0.10381968
1532,0.10388096
1533,0.10394224
1534,0.10400352
1535,0.1040648
1536,0.10412608
1537,0.10418736
1538,0.10424864
1539,0.10430992
1540,0.1043712
1541,0.10443248
1542,0.10449376
1543,0.10455504
1544,0.10461632
1545,0.1046776
1546,0.10473888
1547,0.10480016
1548,0.10486144
1549,0.10492272
1550,0.104984
